11406	11407	F1.3
11408	11409	F1.4
11410	11410	F1.5
11411	11411	F1.6
11412	11425	F1.7
11426	11426	F1.8
11427	11433	F1.9
11434	11434	F2.1
11435	11436	F2.2
11437	11437	F2.3
11438	11445	F2.4
11446	11446	F2.5
11447	11449	F2.6
11450	11450	F2.7
11451	11451	F2.8
11452	11453	F2.9
11454	11454	F2.10
11455	11456	F2.11
11457	11457	F2.12
11458	11468	F2.13
11469	11471	F2.14
11472	11548	F3.1
11549	11550	F3.2
11551	11617	F4.1
11618	11619	F4.2
11620	12399	F5.1
12400	12404	F5.2
12405	13254	F6.1
13257	13257	G1.1
13258	13258	G1.2
13259	13260	G1.3
13261	13262	G1.4
13263	13263	G1.5
13264	13266	G1.6
13267	13268	G1.7
13269	13270	G1.8
13271	13276	G1.9
13277	13279	G1.10
13280	13285	G1.11
13286	13287	G1.12
13288	13305	G1.13
13306	13307	G1.14
13308	13312	G1.15
13313	13320	G1.16
13321	13342	G1.17
13343	13344	G1.18
13345	13349	G1.19
13350	13352	G1.20
13353	13356	G1.21
13357	13362	G1.22
13363	13366	G2.1
13367	13368	G2.2
13369	13370	G2.3
13371	13371	G2.4
13372	13373	G2.5
13374	13374	G2.6
13375	13377	G2.7
13378	13401	G2.8
13402	13414	G2.9
13415	13422	G2.10
13423	13425	G2.11
13426	13427	G3.1
13428	13428	G3.2
13429	13429	G3.3
13430	13431	G3.4
13432	13432	G4.1
13433	13433	G4.2
13434	13434	G4.3
13435	13458	G4.4
13459	13459	G4.5
13460	13461	G4.6
13462	13462	G4.7
13463	13466	G4.8
13467	13474	G5.1
13475	13478	G5.2
13479	13483	G5.3
13484	13492	G5.4
13493	13511	G5.5
13512	13522	G5.6
13523	13534	G5.7
13535	13538	G5.8
13539	13552	G5.9
13553	13555	G5.10
13556	13567	G5.11
13568	13585	G5.12
13586	13591	G5.13
13592	13594	G5.14
13595	13599	G5.15
13600	13601	G5.16
13602	13606	G6.1
13607	13615	G6.2
13616	13616	G7.1
13617	13619	G7.2
13620	13633	G7.3
13634	13648	G8.1
13649	14242	G8.2
14243	14400	G8.3
14401	14504	G8.4
14505	14545	G8.5
